date,EPU_CAN,IP_CAN,INF_CAN,EX_CAN,IM_CAN,RECESS_CAN,GDP_CAN,GDPC_CAN,EXR_CAN,CCI_CAN,UNEMP_CAN,EPU_GER,IP_GER,INF_GER,UNEMP_GER,IM_GER,EX_GER,RECESS_GER,GDP_GER,GDPC_GER,EXR_GER,EPU_JAP,IP_JAP,INF_JAP,UNEMP_JAP,EX_JAP,RECESS_JAP,GDP_JAP,GDPC_JAP,IM_JAP,EXR_JAP,EPU_USA,IP_USA,YS_USA,INF_USA,UNEMP_USA,EX_USA,IM_USA,RECESS_USA,GDP_USA,GDPC_USA,CCI_USA,EPU_MEX,IP_MEX,INF_MEX,GDP_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,EPU_CHI,IP_CHI,INF_CHI,IM_CHI,EX_CHI,TB_CHI,RECESS_CHI,EXR_CHI,UNEMP_CHI,GDPC_CHI,GDP_CHI,CCI_CHI,CCI_GER,CCI_JAP,CCI_MEX,YS_CAN,YS_MEX,YS_JAP,YS_CHI,YS_GER
1996-11-01,136.50169,80.46098,,,,0.0,,,1.3380578947368422,98.7506737914361,,100.1725,,,,,,0.0,,,,108.85803,,,,,0.0,,,,112.2957894736842,62.71,76.8973,0.5,,5.4,,,0.0,,,99.2,,71.4268307543356,,,,5.1,,,,0.0,85.29987,,,,,,1.0,8.3012,,,,101.7223,98.2257,100.0006,,,,2.199,,
1996-12-01,94.35479,79.11782,,,,0.0,,,1.3621571428571428,98.8825775890295,,80.47577,,,,,,0.0,,,,118.9845,,,,,1.0,,,,113.98095238095236,63.94,77.3772,0.52,,5.4,,,0.0,,,96.9,,73.3125247820552,,,,4.4,,,,0.0,69.18519,,,,,,1.0,8.2982,,,,101.3015,98.10553,99.55167,,,,1.926,,
1997-01-01,101.64339,80.64236,1.62121638084531,104807.0,87678.0,0.0,328941.5,32754.0,1.349438095238095,99.1745541810863,9.1,86.68222,72.58390166666666,1.93937198922729,,119268.632302124,128875100000.0,0.0,5523.874,32322.0,1.73405583333333,156.2132,108.4782,1.74780458692133,3.541667,-13119.6,1.0,477464.0,32518.0,60775.0,117.91238095238094,72.06,77.5135,0.57,2.33768993730735,5.3,1091.223,1171.915,0.0,12115.472,44590.0,97.4,0.1290406,71.5022957244793,20.6256287259247,3753.6815,7.91846,4.3,8770.84481553539,693309.125,777530.375,0.0,88.32371,,2.78646505531882,1330576.52019285,2256970.60565991,3.90185776051272,1.0,8.2938,3.23,781.74256121344,2199.0874642690096,100.6041,98.04208,99.28343,,,,2.08,,
1997-02-01,79.92737,81.53017,,,,0.0,,,1.3555842105263158,99.418188411714,,56.29587,,,,,,0.0,,,,99.91369,,,,,1.0,,,,122.96210526315792,64.32,78.4255,0.52,,5.2,,,0.0,,,99.7,,71.9586070549137,,,,3.8,,,,0.0,115.34868,,,,,,1.0,8.2948,,,,100.1067,97.97167,99.36574,,,,2.063,,
1997-03-01,127.80496,81.04134,,,,0.0,,,1.3724761904761904,99.6737579341137,,47.05064,,,,,,0.0,,,,116.40501,,,,,1.0,,,,122.77380952380952,64.99,78.9197,0.47,,5.2,,,0.0,,,100.0,,72.6296527714709,,,,4.1,,,,0.0,59.41059,,,,,,1.0,8.2964,,,,99.87895,98.04889,99.65297,,,,1.823,,
1997-04-01,66.1948,82.15816,,106139.0,89623.8,0.0,332643.3,,1.394159090909091,100.026598979952,,101.56806,,,,120467.885261215,132885900000.0,0.0,5586.047,,,81.87957,,,,,1.0,,,59746.3,125.63772727272728,58.06,78.9848,0.44,,5.1,1134.842,1211.249,0.0,12317.221,45203.0,101.4,0.4230118,73.3214762215061,,3841.94925,,4.0,,750310.1875,788105.625,0.0,123.27135,,,,,4.75082706035418,1.0,8.2949,,,,99.87308,98.19686,99.96745,,,,1.501,,
1997-05-01,108.81663,82.29134,,,,0.0,,,1.3803999999999998,100.331536836962,,76.70815,,,,,,0.0,,,,89.53854,,,,,1.0,,,,119.19238095238094,77.92,79.4296,0.43,,4.9,,,0.0,,,103.2,,74.3575916320842,,,,4.0,,,,0.0,20.57983,,,,,,1.0,8.2921,,,,100.0127,98.31899,100.178,,,,1.6820000000000002,,
1997-06-01,73.33613,81.59661,,,,0.0,,,1.3842714285714286,100.686765713549,,100.66198,,,,,,0.0,,,,94.94368,,,,,1.0,,,,114.28571428571428,77.96,79.7971,0.4,,5.0,,,0.0,,,104.5,,75.2256057900248,,,,3.6,,,,0.0,62.72387,,,,,,1.0,8.2908,,,,100.199,98.3437,100.2511,,,,1.79,,
1997-07-01,44.0364,83.61976,,109193.8,93393.8,0.0,336586.8,,1.3775318181818184,101.128910881782,,69.24738,,,,124436.843114511,139984500000.0,0.0,5605.795999999999,,,84.39924,,,,,1.0,,,59599.6,115.37590909090908,58.03,80.4666,0.33,,4.9,1161.1,1255.884,0.0,12471.01,45616.0,107.1,0.1988467,75.7815821015704,,3922.3615,,4.0,,814235.625,812218.6875,0.0,42.59028,,,,,4.43570922051126,1.0,8.2901,,,,100.344,98.41047,100.1318,,,,1.838,,
1997-08-01,61.28613,83.43552,,,,0.0,,,1.3905333333333334,101.277799800805,,118.19356,,,,,,0.0,,,,77.81032,,,,,1.0,,,,117.9295238095238,69.15,81.2825,0.36,,4.8,,,0.0,,,104.4,,76.3842274756331,,,,3.6,,,,0.0,27.12609,,,,,,1.0,8.2884,,,,100.3927,98.57549,99.7621,,,,1.839,,
