date,YS_GER
2006-09-01,0.180677
2006-09-01,0.198635
2006-09-01,0.210062
2006-09-01,0.166612
2006-09-01,0.147147
2006-09-01,0.162103
2006-09-01,0.149546
2006-09-01,0.142693
2006-09-01,0.143535
2006-09-01,0.155209
2006-09-01,0.197524
2006-09-01,0.182485
2006-09-01,0.142506
2006-09-01,0.143052
2006-09-01,0.146249
2006-10-01,0.144979
2006-10-01,0.166203
2006-10-01,0.156824
2006-10-01,0.150313
2006-10-01,0.189312
2006-10-01,0.175474
2006-10-01,0.178717
2006-10-01,0.174349
2006-10-01,0.177431
2006-10-01,0.183132
2006-10-01,0.196041
2006-10-01,0.188239
2006-10-01,0.204406
2006-10-01,0.210005
2006-10-01,0.183935
2006-10-01,0.194112
2006-10-01,0.178537
2006-10-01,0.181657
2006-10-01,0.162417
2006-10-01,0.1291
2006-10-01,0.115163
2006-10-01,0.087037
2006-11-01,0.108494
2006-11-01,0.090522
2006-11-01,0.089251
2006-11-01,0.085236
2006-11-01,0.058511
2006-11-01,0.048195
2006-11-01,0.036862
2006-11-01,0.055525
2006-11-01,0.060259
2006-11-01,0.05143
2006-11-01,0.052574
2006-11-01,0.048091
2006-11-01,0.053127
2006-11-01,0.065771
2006-11-01,0.053955
2006-11-01,0.072557
2006-11-01,0.060909
2006-11-01,0.06272
2006-11-01,0.075727
2006-11-01,0.081568
2006-11-01,0.072427
2006-11-01,0.066827
2006-12-01,0.067569
2006-12-01,0.094482
2006-12-01,0.074431
2006-12-01,0.065548
2006-12-01,0.051897
2006-12-01,0.043308
2006-12-01,0.04328
2006-12-01,0.035552
2006-12-01,0.025968
2006-12-01,0.034589
2006-12-01,0.036845
2006-12-01,0.047081
2006-12-01,0.063197
2006-12-01,0.06658
2006-12-01,0.067721
2006-12-01,0.060188
2006-12-01,0.056062
2006-12-01,0.083007
2006-12-01,0.089523
2007-01-01,0.09359
2007-01-01,0.100149
2007-01-01,0.10242
2007-01-01,0.097595
2007-01-01,0.102685
2007-01-01,0.109108
2007-01-01,0.109961
2007-01-01,0.134991
2007-01-01,0.152466
2007-01-01,0.14459
2007-01-01,0.13707
2007-01-01,0.135758
2007-01-01,0.154486
2007-01-01,0.120295
2007-01-01,0.115065
2007-01-01,0.105866
2007-01-01,0.105753
2007-01-01,0.116494
2007-01-01,0.137047
2007-01-01,0.154663
2007-01-01,0.151501
2007-01-01,0.148441
2007-02-01,0.142515
2007-02-01,0.188201
2007-02-01,0.165708
2007-02-01,0.152407
2007-02-01,0.133782
2007-02-01,0.117968
2007-02-01,0.136033
2007-02-01,0.162044
2007-02-01,0.161345
2007-02-01,0.162507
2007-02-01,0.136476
2007-02-01,0.129072
2007-02-01,0.127429
2007-02-01,0.133226
2007-02-01,0.124732
2007-02-01,0.124412
