date,China_EPU_Index,Industrial_Production,Inflation,Real_Imports,Real_Exports,Exports_Value,Imports_Value,Net_Trade_Value,Recession_Indicator,Real_GDP,Discount_Rate,Exchange_Rate_USD,Unemployment_Rate,GDP_Per_Capita
1980-05-01,,,,,,,,,1.0,,,1.478799999,,
1980-06-01,,,,,,,,,1.0,,,1.4611,,
1980-07-01,,,,,,,,,1.0,,,1.471199999,,
1980-08-01,,,,,,,,,1.0,,,1.469599999,,
1980-09-01,,,,,,,,,1.0,,,1.474,,
1980-10-01,,,,,,,,,1.0,,,1.5037,,
1980-11-01,,,,,,,,,1.0,,,1.529099999,,
1980-12-01,,,,,,,,,1.0,,,1.530299999,,
1981-01-01,,,,,,,,,1.0,,,1.606799999,,197.071474499102
1981-02-01,,,,,,,,,1.0,,,1.625199999,,
1981-03-01,,,,,,,,,1.0,,,1.613499999,,
1981-04-01,,,,,,,,,1.0,,,1.683999999,,
1981-05-01,,,,,,,,,1.0,,,1.7436,,
1981-06-01,,,,,,,,,1.0,,,1.746699999,,
1981-07-01,,,,,,,,,1.0,,,1.779999999,,
1981-08-01,,,,,,,,,1.0,,,1.768299999,,
1981-09-01,,,,,,,,,1.0,,,1.7675,,
1981-10-01,,,,,,,,,1.0,,,1.745799999,,
1981-11-01,,,,,,,,,1.0,,,1.712799999,,
1981-12-01,,,,,,,,,1.0,,,1.745499999,,
1982-01-01,,,,188314.103142737,209404.391815823,,,,1.0,,,1.792999999,,203.334919503464
1982-02-01,,,,,,,,,1.0,,,1.8401,,
1982-03-01,,,,,,,,,1.0,,,1.867499999,,
1982-04-01,,,,,,,,,1.0,,,1.817699999,,
1982-05-01,,,,,,,,,1.0,,,1.828499999,,
1982-06-01,,,,,,,,,1.0,,,1.930999999,,
1982-07-01,,,,,,,,,1.0,,,1.926399999,,
1982-08-01,,,,,,,,,1.0,,,1.9452,,
1982-09-01,,,,,,,,,1.0,,,1.968399999,,
1982-10-01,,,,,,,,,1.0,,,1.999599999,,
1982-11-01,,,,,,,,,1.0,,,1.975699999,,
1982-12-01,,,,,,,,,0.0,,,1.922699999,,
1983-01-01,,,,202834.503848442,211203.607252542,,,,0.0,,,1.9415,,225.431928890812
1983-02-01,,,,,,,,,0.0,,,1.968699999,,
1983-03-01,,,,,,,,,0.0,,,1.994099999,,
1983-04-01,,,,,,,,,0.0,,,1.985899999,,
1983-05-01,,,,,,,,,0.0,,,1.9939,,
1983-06-01,,,,,,,,,0.0,,,1.9838,,
1983-07-01,,,,,,,,,0.0,,,1.993499999,,
1983-08-01,,,,,,,,,0.0,,,1.985199999,,
1983-09-01,,,,,,,,,0.0,,,1.975299999,,
1983-10-01,,,,,,,,,0.0,,,1.9791,,
1983-11-01,,,,,,,,,0.0,,,1.989,,
1983-12-01,,,,,,,,,0.0,,,1.980899999,,
1984-01-01,,,,265126.338820769,255806.352346703,,,,0.0,,,2.073799999,,250.713969046988
1984-02-01,,,,,,,,,0.0,,,2.046799999,,
1984-03-01,,,,,,,,,0.0,,,2.058799999,,
1984-04-01,,,,,,,,,0.0,,,2.127599999,,
1984-05-01,,,,,,,,,0.0,,,2.211799999,,
1984-06-01,,,,,,,,,0.0,,,2.2473,,
1984-07-01,,,,,,,,,0.0,,,2.3316,,
1984-08-01,,,,,,,,,0.0,,,2.413599999,,
1984-09-01,,,,,,,,,0.0,,,2.599,,
1984-10-01,,,,,,,,,0.0,,,2.639999999,,
1984-11-01,,,,,,,,,0.0,,,2.7873,,
1984-12-01,,,,,,,,,0.0,,,2.7957,,
1985-01-01,,,,428124.060143932,300137.438605345,,,,0.0,,,2.8097,,294.45884850496
1985-02-01,,,,,,,,,0.0,,,2.8346,,
1985-03-01,,,,,,,,,0.0,,,2.8199,,
1985-04-01,,,,,,,,,1.0,,,2.8522,,
1985-05-01,,,,,,,,,1.0,,,2.8437,,
1985-06-01,,,,,,,,,1.0,,,2.8779,,
1985-07-01,,,,,,,,,1.0,,,2.8778,,
1985-08-01,,,,,,,,,1.0,,,2.9211,,
1985-09-01,,,,,,,,,1.0,,,2.9681,,
1985-10-01,,,,,,,,,1.0,,,3.2015,,
1985-11-01,,,,,,,,,1.0,,,3.2015,,
1985-12-01,,,,,,,,,1.0,,,3.2015,,
1986-01-01,,,,367090.182958383,308490.00468631,,,,1.0,,,3.2015,,281.928120911563
1986-02-01,,,,,,,,,1.0,,,3.2079,,
1986-03-01,,,,,,,,,1.0,,,3.2207,,
1986-04-01,,,,,,,,,1.0,,,3.1992,,
1986-05-01,,,,,,,,,0.0,,,3.2143,,
1986-06-01,,,,,,,,,0.0,,,3.1983,,
1986-07-01,,,,,,,,,0.0,,,3.7036,,
1986-08-01,,,,,,,,,0.0,,,3.7036,,
1986-09-01,,,,,,,,,0.0,,,3.7147,,
1986-10-01,,,,,,,,,0.0,,,3.718,,
1986-11-01,,,,,,,,,0.0,,,3.7221,,
1986-12-01,,,,,,,,,0.0,,,3.7221,,
1987-01-01,,,7.23383553065609,338722.769564217,362422.698707494,,,,0.0,,,3.7221,,251.811956961329
1987-02-01,,,,,,,,,0.0,,,3.7221,,
1987-03-01,,,,,,,,,0.0,,,3.7221,,
1987-04-01,,,,,,,,,0.0,,,3.7221,,
1987-05-01,,,,,,,,,0.0,,,3.7221,,
1987-06-01,,,,,,,,,0.0,,,3.7221,,
1987-07-01,,,,,,,,,0.0,,,3.7221,,
1987-08-01,,,,,,,,,0.0,,,3.7221,,
1987-09-01,,,,,,,,,0.0,,,3.7221,,
1987-10-01,,,,,,,,,0.0,,,3.7221,,
1987-11-01,,,,,,,,,0.0,,,3.7221,,
