date,EPU_MEX,IP_MEX,INF_YoY_MEX,GDP_MEX,2YS_MEX,1OYS_MEX,EXR_MEX,UNEMP_MEX,GDPC_MEX,IM_MEX,EX_MEX,RECESS_MEX,INF_MEX
1999-11-01,,82.5643695341512,,,20.63,,,2.3,,,,0.0,13.918
1999-12-01,,83.1467690132264,,,18.76,,,2.4,,,,0.0,12.319
2000-01-01,0.1942879,84.6961838939262,9.49156149435403,4391.7405,18.82,,9.45556,2.3,9581.96970210753,1122979.25,1007871.3125,0.0,11.023
2000-02-01,,85.4397467953891,,,17.27,,,2.1,,,,0.0,10.523
2000-03-01,,86.0577730900437,,,15.89,,,2.2,,,,0.0,10.112
2000-04-01,0.0636416,85.6250147003443,,4446.7725,17.04,,,2.792068,,1169035.125,1065722.375,0.0,9.732
2000-05-01,,86.235709346661,,,17.61,,,2.7226470000000003,,,,0.0,9.483
2000-06-01,,86.9480607351255,,,16.88,,,2.72309,,,,0.0,9.413
2000-07-01,0.1991371,88.0344729807704,,4494.996,15.84,,,2.457457,,1242625.875,1084906.0,0.0,9.119
2000-08-01,,86.6708240491643,,,16.95,,,2.72916,,,,1.0,9.104
2000-09-01,,86.3063505197081,,,16.11,,,2.6192580000000003,,,,1.0,8.849
2000-10-01,0.1396161,86.1052574385206,,4445.101,16.66,,,2.487701,,1258713.625,1108655.25,1.0,8.909
2000-11-01,,85.1895550878387,,,17.12,,,2.359279,,,,1.0,8.872
2000-12-01,,83.1656700264301,,,17.12,,,2.547241,,,,1.0,8.959
2001-01-01,0.1414027,86.3822256385572,6.36773806235037,4472.698,17.89,,9.34234,2.544988,9398.35074355724,1234440.125,1137717.25,1.0,8.112
2001-02-01,,85.288504062676,,,18.05,,,3.209051,,,,1.0,7.090000000000001
2001-03-01,,84.1976193068565,,,16.68,,,2.663894,,,,1.0,7.175
2001-04-01,0.1420959,83.4777926407015,,4439.733,15.52,,,2.703472,,1214548.25,1095155.625,1.0,7.106
2001-05-01,,83.9585086468021,,,14.24,,,2.780142,,,,1.0,6.952
2001-06-01,,83.8045047743566,,,11.99,,,2.737625,,,,1.0,6.573
2001-07-01,0.0,83.9540862737244,,4430.281,12.82,,,2.82023,,1168293.0,1077495.75,1.0,5.883
2001-08-01,,83.7870671923875,,,11.49,,,2.30718,,,,1.0,5.929
2001-09-01,,84.0603678947689,,,12.49,,,2.5037830000000003,,,,1.0,6.139
2001-10-01,0.2892891,82.4558172588716,,4392.626,12.84,11.7445735027223,,2.863269,,1190376.25,1045131.8125,1.0,5.89
2001-11-01,,83.1157078488351,,,11.43,11.455390199637,,2.996422,,,,1.0,5.388
2001-12-01,,82.6266445397883,,,10.08,10.28,,3.0861650000000003,,,,1.0,4.403
2002-01-01,0.4287552,82.091063868415,5.03072733151295,4365.118,9.1,9.98,9.65596,3.360129,9242.27886130016,1221273.5,1062076.75,1.0,4.786
2002-02-01,,80.1565146764286,,,9.11,9.93,,3.0352900000000003,,,,1.0,4.788
2002-03-01,,81.2065213191335,,,8.02,9.72,,3.022208,,,,1.0,4.661
2002-04-01,0.3779052,82.4014323988669,,4411.2585,7.34,9.85,,3.05236,,1248222.625,1125753.375,1.0,4.705
2002-05-01,,81.8687769696226,,,7.73,9.2,,3.128937,,,,1.0,4.677
2002-06-01,,82.0582226192584,,,8.12,9.95,,3.039378,,,,1.0,4.939
2002-07-01,0.3136763,82.4060450411764,,4453.104,8.79,10.17,,2.907495,,1253864.125,1144087.25,1.0,5.514
2002-08-01,,83.2293437178014,,,8.56,10.23,,2.7774080000000003,,,,1.0,5.292
2002-09-01,,83.2052338256247,,,8.51,10.22,,2.886344,,,,1.0,4.948
2002-10-01,0.3743916,84.0798216508971,,4463.0155,9.67,11.17,,2.794946,,1251138.375,1140615.125,1.0,4.936
2002-11-01,,84.1761686445541,,,9.17,10.96,,3.00077,,,,1.0,5.388
2002-12-01,,83.2794241477599,,,8.41,10.12,,2.729125,,,,1.0,5.7
2003-01-01,0.3562015,81.8584842875279,4.54690012118718,4460.474,9.84,10.12,10.789,2.890019,9221.99666693097,1255406.375,1107871.25,1.0,5.157
2003-02-01,,83.4901291108833,,,9.19,10.09,,2.98038,,,,1.0,5.517
2003-03-01,,83.0576052262526,,,9.12,10.58,,3.123908,,,,1.0,5.643
2003-04-01,0.3405763,83.1273513535611,,4467.4415,8.33,9.53,,3.0915,,1264571.125,1056956.25,1.0,5.248
2003-05-01,,83.4006161893756,,,6.6,8.49,,3.191952,,,,1.0,4.696
2003-06-01,,83.8932363980606,,,6.51,8.07,,3.267429,,,,1.0,4.274
2003-07-01,0.142796,83.6293918199166,,4469.17,6.59,8.74,,3.576365,,1296662.875,1110445.75,1.0,4.127
2003-08-01,,83.4646447643953,,,6.63,8.88,,3.664692,,,,1.0,4.043
2003-09-01,,83.2601553495353,,,6.31,8.37,,3.816401,,,,0.0,4.037
2003-10-01,0.0712149,83.8585350265044,,4509.9915,5.92,8.24,,3.769731,,1309305.375,1122719.75,0.0,3.96
2003-11-01,,83.3132128102695,,,6.42,8.35,,4.035325,,,,0.0,3.982
2003-12-01,,84.7589801281645,,,6.95,8.32,,3.402546,,,,0.0,3.977
2004-01-01,0.2665423,85.014013755406,4.68840884843143,4570.365,5.76,8.32,11.286,3.777796,9421.28975988024,1328358.125,1123258.125,0.0,4.202
2004-02-01,,84.9539690151737,,,6.26,8.38,,4.043839,,,,0.0,4.534
2004-03-01,,87.0302566532917,,,6.66,8.6,,3.921735,,,,0.0,4.231
2004-04-01,0.3351206,86.7344717875868,,4630.803,6.18,8.92,,3.987647,,1359681.375,1157470.625,0.0,4.21
2004-05-01,,86.5351235361144,,,8.08,10.1,,3.884007,,,,0.0,4.285
2004-06-01,,86.9079470297491,,,8.23,10.3,,3.958375,,,,0.0,4.366
2004-07-01,0.0631592,86.4987290908054,,4627.3885,8.25,9.78,,3.795059,,1367295.25,1176933.625,0.0,4.488
2004-08-01,,86.462969724038,,,8.55,10.03,,3.997989,,,,0.0,4.819
2004-09-01,,86.5910899053166,,,8.56,10.27,,3.84378,,,,0.0,5.06
2004-10-01,0.1300982,86.9155443342142,,4676.86,8.7,9.69,,3.900006,,1409098.75,1183661.125,0.0,5.401
2004-11-01,,86.9418878410424,,,9.08,10.35,,3.868527,,,,0.0,5.425
2004-12-01,,87.1943586492304,,,8.61,9.72,,4.034563,,,,0.0,5.191
2005-01-01,0.0600492,87.4626582468391,3.98805714597437,4687.5925,8.61,10.02,10.8979,3.99122,9491.51730225718,1410770.25,1206133.875,0.0,4.545
2005-02-01,,87.8141928099458,,,9.24,9.62,,3.680443,,,,0.0,4.269
