date,10YS_GER,2YS_GER,Spread
1990-08-01,8.9975,10.9048,-1.9072999999999993
1990-09-01,9.105,10.9419,-1.8369
1990-10-01,9.0675,10.8495,-1.782
1990-11-01,8.9325,10.8481,-1.9156000000000013
1990-12-01,8.845,11.0293,-2.1842999999999986
1991-01-01,8.9275,10.9529,-2.0253999999999994
1991-02-01,8.35,10.6465,-2.2965
1991-03-01,8.4275,10.3821,-1.9545999999999992
1991-04-01,8.3575,10.2371,-1.8796
1991-05-01,8.395,10.0664,-1.6714000000000002
1991-06-01,8.4075,10.0631,-1.6555999999999997
1991-07-01,8.6325,10.3297,-1.6972000000000005
1991-08-01,8.52,10.3634,-1.8434000000000008
1991-09-01,8.455,10.1966,-1.7416
1991-10-01,8.3475,10.1057,-1.7582000000000004
1991-11-01,8.315,10.1668,-1.8518000000000008
1991-12-01,8.2125,10.3112,-2.098699999999999
1992-01-01,7.9475,9.9904,-2.0428999999999995
1992-02-01,7.92,9.9497,-2.0297
1992-03-01,8.0275,10.0367,-2.0092
1992-04-01,8.035,10.1015,-2.0664999999999996
1992-05-01,8.075,10.1071,-2.0321000000000016
1992-06-01,8.0675,10.3452,-2.2776999999999994
1992-07-01,8.125,10.6957,-2.5707000000000004
1992-08-01,8.04,10.8843,-2.8443000000000005
1992-09-01,7.6525,10.9677,-3.315200000000001
1992-10-01,7.4525,10.2689,-2.8164000000000007
1992-11-01,7.36,9.6538,-2.2938
1992-12-01,7.32,9.7771,-2.4571000000000005
1993-01-01,7.1325,9.4905,-2.3580000000000005
1993-02-01,6.905,9.1208,-2.215799999999999
1993-03-01,6.6375,8.7625,-2.124999999999999
1993-04-01,6.6775,8.7063,-2.0288000000000004
1993-05-01,6.83,8.2869,-1.4568999999999992
1993-06-01,6.8075,7.9299,-1.1223999999999998
1993-07-01,6.6075,7.494,-0.8864999999999998
1993-08-01,6.3725,7.0755,-0.7030000000000003
1993-09-01,6.19,7.0036,-0.8135999999999992
1993-10-01,5.985,6.7718,-0.7867999999999995
1993-11-01,5.9825,6.6313,-0.6488000000000005
1993-12-01,5.83,6.3555,-0.5255000000000001
1994-01-01,5.815,5.99,-0.17499999999999982
1994-02-01,6.135,6.48,-0.34500000000000064
1994-03-01,6.345,6.51,-0.16500000000000004
1994-04-01,6.607,6.57,0.03699999999999992
1994-05-01,6.6635,6.69,-0.026500000000000412
1994-06-01,7.05238095238095,6.96,0.09238095238095045
1994-07-01,6.89619047619048,7.02,-0.12380952380951982
1994-08-01,7.0895652173913,7.56,-0.47043478260869964
1994-09-01,7.51545454545455,7.75,-0.23454545454544995
1994-10-01,7.5415,7.61,-0.06850000000000023
1994-11-01,7.491428571428571,7.6,-0.10857142857142854
1994-12-01,7.46095238095238,8.08,-0.6190476190476204
1995-01-01,7.59590909090909,7.78,-0.18409090909091042
1995-02-01,7.423999999999999,7.81,-0.386000000000001
1995-03-01,7.27739130434783,7.64,-0.36260869565216947
1995-04-01,7.08833333333333,7.45,-0.3616666666666699
1995-05-01,6.86238095238095,6.97,-0.10761904761904972
1995-06-01,6.783,7.18,-0.39699999999999935
1995-07-01,6.86238095238095,6.89,-0.027619047619049653
1995-08-01,6.74608695652174,6.58,0.16608695652174
1995-09-01,6.585238095238099,6.54,0.04523809523809863
1995-10-01,6.565238095238099,6.39,0.1752380952380994
1995-11-01,6.34181818181818,6.04,0.30181818181818
1995-12-01,6.07473684210526,5.69,0.3847368421052595
1996-01-01,5.887272727272729,5.3,0.5872727272727296
1996-02-01,6.20428571428571,5.51,0.6942857142857104
1996-03-01,6.445238095238099,5.57,0.8752380952380987
1996-04-01,6.377000000000001,5.05,1.3270000000000008
1996-05-01,6.446000000000001,5.08,1.3660000000000005
1996-06-01,6.55894736842105,5.19,1.3689473684210496
1996-07-01,6.478695652173911,5.2,1.2786956521739112
1996-08-01,6.3022727272727295,5.1,1.2022727272727298
1996-09-01,6.22666666666667,4.78,1.4466666666666699
1996-10-01,6.00863636363636,4.57,1.43863636363636
1996-11-01,5.85952380952381,4.3,1.5595238095238102
1996-12-01,5.79,4.17,1.62
1997-01-01,5.80409090909091,4.13,1.6740909090909097
1997-02-01,5.5445,4.27,1.2745000000000006
1997-03-01,5.71526315789474,4.54,1.1752631578947401
1997-04-01,5.86681818181818,4.39,1.4768181818181807
1997-05-01,5.76111111111111,4.37,1.39111111111111
1997-06-01,5.718571428571429,4.12,1.5985714285714288
1997-07-01,5.556521739130441,4.27,1.2865217391304418
1997-08-01,5.66,4.42,1.2400000000000002
1997-09-01,5.59272727272727,4.33,1.26272727272727
1997-10-01,5.57818181818182,4.56,1.0181818181818203
1997-11-01,5.5565,4.42,1.1364999999999998
1997-12-01,5.32736842105263,4.33,0.9973684210526299
1998-01-01,5.11238095238095,4.11,1.0023809523809497
1998-02-01,4.989,4.08,0.9089999999999998
1998-03-01,4.89954545454545,4.17,0.7295454545454501
1998-04-01,4.902,4.26,0.6420000000000003
1998-05-01,4.96473684210526,4.13,0.8347368421052597
1998-06-01,4.7985,4.08,0.7184999999999997
1998-07-01,4.68478260869565,4.04,0.6447826086956496
1998-08-01,4.42523809523809,3.68,0.7452380952380895
1998-09-01,4.06090909090909,3.55,0.5109090909090899
1998-10-01,4.06454545454545,3.39,0.6745454545454499
1998-11-01,4.1204761904761895,3.33,0.7904761904761894
1998-12-01,3.8635,3.16,0.7035
1999-01-01,3.702,2.9967,0.7052999999999998
1999-02-01,3.849,3.0502,0.7988000000000004
1999-03-01,4.03782608695652,3.0843,0.9535260869565203
1999-04-01,3.85,2.8256,1.0244
1999-05-01,4.01210526315789,2.8001,1.2120052631578901
1999-06-01,4.36047619047619,3.0793,1.2811761904761898
1999-07-01,4.67636363636364,3.2938,1.3825636363636402
1999-08-01,4.87909090909091,3.558,1.32109090909091
1999-09-01,5.0404545454545495,3.6613,1.3791545454545493
1999-10-01,5.292380952380951,4.0733,1.219080952380951
1999-11-01,5.04,3.9876,1.0524
1999-12-01,5.14761904761905,4.1763,0.9713190476190494
2000-01-01,5.53952380952381,4.38,1.1595238095238098
2000-02-01,5.508571428571429,4.5451,0.9634714285714292
2000-03-01,5.33304347826087,4.588,0.7450434782608699
2000-04-01,5.22555555555556,4.5759,0.6496555555555599
2000-05-01,5.37818181818182,5.0022,0.3759818181818195
2000-06-01,5.19136363636364,5.0204,0.17096363636363954
2000-07-01,5.266190476190481,5.1898,0.07639047619048078
2000-08-01,5.210434782608701,5.2833,-0.07286521739129892
2000-09-01,5.26333333333333,5.222,0.04133333333332967
2000-10-01,5.20714285714286,5.1684,0.038742857142859854
2000-11-01,5.15363636363636,5.1168,0.036836363636360225
2000-12-01,4.89052631578947,4.7364,0.1541263157894699
2001-01-01,4.80318181818182,4.4916,0.3115818181818204
2001-02-01,4.7775,4.5173,0.2602000000000002
2001-03-01,4.667727272727269,4.3741,0.2936272727272691
2001-04-01,4.827894736842111,4.4516,0.37629473684211057
2001-05-01,5.046818181818179,4.5101,0.5367181818181788
2001-06-01,5.0,4.3415,0.6585000000000001
2001-07-01,5.01590909090909,4.3271,0.68880909090909
2001-08-01,4.82391304347826,4.1071,0.7168130434782602
2001-09-01,4.813,3.773,1.0399999999999996
2001-10-01,4.5995652173913,3.4384,1.1611652173912996
2001-11-01,4.44772727272727,3.3581,1.0896272727272698
2001-12-01,4.73588235294118,3.6574,1.0784823529411804
2002-01-01,4.86272727272727,3.8411,1.0216272727272697
2002-02-01,4.9195,3.9619,0.9576000000000002
2002-03-01,5.1610000000000005,4.246,0.915
2002-04-01,5.1552380952381,4.2074,0.9478380952381
2002-05-01,5.167727272727269,4.2525,0.915227272727269
2002-06-01,5.0175,4.1012,0.9162999999999997
2002-07-01,4.86739130434783,3.8032,1.0641913043478302
2002-08-01,4.58954545454545,3.4655,1.1240454545454504
2002-09-01,4.38523809523809,3.1931,1.1921380952380898
2002-10-01,4.46391304347826,3.1281,1.33581304347826
2002-11-01,4.47761904761905,3.0415,1.4361190476190497
2002-12-01,4.33555555555556,2.8376,1.49795555555556
2003-01-01,4.18,2.636,1.5439999999999996
2003-02-01,3.955,2.4501,1.5049000000000001
2003-03-01,4.000476190476189,2.4999,1.5005761904761896
2003-04-01,4.147,2.5898,1.5572000000000004
2003-05-01,3.815238095238101,2.306,1.5092380952381008
2003-06-01,3.61666666666667,2.0757,1.54096666666667
2003-07-01,3.97260869565217,2.3006,1.6720086956521696
2003-08-01,4.13,2.632,1.4979999999999998
2003-09-01,4.17136363636364,2.5299,1.6414636363636403
2003-10-01,4.22130434782609,2.5867,1.6346043478260897
2003-11-01,4.353,2.7002,1.6527999999999996
2003-12-01,4.291052631578951,2.5815,1.7095526315789504
2004-01-01,4.17095238095238,2.4085,1.7624523809523795
2004-02-01,4.11,2.3764,1.7336000000000005
2004-03-01,3.91347826086957,2.1603,1.75317826086957
2004-04-01,4.097,2.3879,1.7091000000000003
2004-05-01,4.25333333333333,2.5469,1.7064333333333304
2004-06-01,4.31272727272727,2.7367,1.57602727272727
2004-07-01,4.2368181818181805,2.6984,1.5384181818181806
2004-08-01,4.0804545454545496,2.5327,1.5477545454545494
2004-09-01,4.01636363636364,2.5954,1.42096363636364
2004-10-01,3.8947619047619,2.4716,1.4231619047619
2004-11-01,3.7804545454545497,2.4136,1.3668545454545495
2004-12-01,3.57952380952381,2.3612,1.21832380952381
2005-01-01,3.5647619047619,2.39,1.1747619047618998
2005-02-01,3.544,2.4547,1.0893000000000002
2005-03-01,3.69619047619048,2.4943,1.20189047619048
2005-04-01,3.4823809523809506,2.3443,1.1380809523809505
2005-05-01,3.30409090909091,2.2185,1.08559090909091
2005-06-01,3.1263636363636405,2.0736,1.0527636363636406
2005-07-01,3.20571428571429,2.1869,1.01881428571429
2005-08-01,3.23260869565217,2.2393,0.99330869565217
2005-09-01,3.06772727272727,2.2124,0.85532727272727
2005-10-01,3.2385714285714307,2.4529,0.7856714285714306
2005-11-01,3.44818181818182,2.7317,0.71648181818182
2005-12-01,3.3376190476190497,2.7999,0.5377190476190497
2006-01-01,3.3213636363636403,2.8626,0.45876363636364026
2006-02-01,3.4725,2.9736,0.49890000000000034
2006-03-01,3.6373913043478296,3.22,0.41739130434782945
2006-04-01,3.895,3.3678,0.5272000000000001
2006-05-01,3.96272727272727,3.379,0.5837272727272702
2006-06-01,3.96045454545455,3.4744,0.48605454545454974
2006-07-01,4.01,3.5844,0.42559999999999976
2006-08-01,3.88391304347826,3.5859,0.29801304347825974
2006-09-01,3.75380952380952,3.6224,0.1314095238095203
2006-10-01,3.78772727272727,3.685,0.10272727272726989
2006-11-01,3.7140909090909098,3.7106,0.0034909090909098772
