"date","price","Open","High","Low","Change %"
"10/01/1995","0.590","0.590","0.590","0.590","-8.95%"
"11/01/1995","0.412","0.412","0.412","0.412","-30.17%"
"12/01/1995","0.747","0.747","0.747","0.747","81.31%"
"01/01/1996","0.914","0.914","0.914","0.914","22.36%"
"02/01/1996","1.246","1.246","1.246","1.246","36.32%"
"03/01/1996","1.006","1.006","1.006","1.006","-19.26%"
"04/01/1996","1.293","1.293","1.293","1.293","28.53%"
"05/01/1996","1.008","1.008","1.008","1.008","-22.04%"
"06/01/1996","1.119","1.119","1.119","1.119","11.01%"
"07/01/1996","1.251","1.251","1.251","1.251","11.80%"
"08/01/1996","0.780","0.780","0.780","0.780","-37.65%"
"09/01/1996","0.840","0.840","0.840","0.840","7.69%"
"10/01/1996","0.587","0.587","0.587","0.587","-30.12%"
"11/01/1996","0.560","0.560","0.560","0.560","-4.60%"
"12/01/1996","0.671","0.671","0.671","0.671","19.82%"
"01/01/1997","0.552","0.552","0.552","0.552","-17.73%"
"02/01/1997","0.520","0.520","0.520","0.520","-5.80%"
"03/01/1997","0.701","0.701","0.701","0.701","34.81%"
"04/01/1997","0.881","0.881","0.881","0.881","25.68%"
"05/01/1997","1.054","1.054","1.054","1.054","19.64%"
"06/01/1997","0.894","0.894","0.894","0.894","-15.18%"
"07/01/1997","0.667","0.667","0.667","0.667","-25.39%"
"08/01/1997","0.515","0.515","0.515","0.515","-22.79%"
"09/01/1997","0.590","0.590","0.590","0.590","14.56%"
"10/01/1997","0.505","0.505","0.505","0.505","-14.41%"
"11/01/1997","0.435","0.435","0.435","0.435","-13.86%"
"12/01/1997","0.625","0.625","0.625","0.625","43.68%"
"01/01/1998","0.750","0.750","0.750","0.750","20.00%"
"02/01/1998","0.615","0.615","0.615","0.615","-18.00%"
"03/01/1998","0.595","0.595","0.595","0.595","-3.25%"
"04/01/1998","0.485","0.485","0.485","0.485","-18.49%"
"05/01/1998","0.400","0.400","0.400","0.400","-17.53%"
"06/01/1998","0.560","0.560","0.560","0.560","40.00%"
"07/01/1998","0.505","0.505","0.505","0.505","-9.82%"
"08/01/1998","0.400","0.400","0.400","0.400","-20.79%"
"09/01/1998","0.355","0.355","0.355","0.355","-11.25%"
"10/01/1998","0.275","0.275","0.275","0.275","-22.54%"
